,Dates,AvgPred
329,2019-02-24,11901.541013910139
330,2019-02-25,12783.43517408267
331,2019-02-26,12855.940717041485
332,2019-02-27,12475.308898894073
333,2019-02-28,12323.827769406731
334,2019-03-01,11930.584846983062
335,2019-03-02,12160.434192231096
336,2019-03-03,11843.23763489919
337,2019-03-04,12720.767707250892
338,2019-03-05,12792.873643507093
339,2019-03-06,12414.066161976249
340,2019-03-07,12263.286212974775
341,2019-03-08,11871.93395955317
342,2019-03-09,12100.61135004926
343,2019-03-10,11784.934255888746
344,2019-03-11,12658.10024041796
345,2019-03-12,12729.806569970737
346,2019-03-13,12352.823425058432
347,2019-03-14,12202.744656542829
348,2019-03-15,11813.283072125001
349,2019-03-16,12040.788507867734
350,2019-03-17,11726.630876877794
351,2019-03-18,12595.432773587358
352,2019-03-19,12666.739496437318
353,2019-03-20,12291.580688142092
354,2019-03-21,12142.203100113522
355,2019-03-22,11754.632184695784
356,2019-03-23,11980.965665685913
357,2019-03-24,11668.327497867485
358,2019-03-25,12532.765306754412
359,2019-03-26,12603.67242290121
360,2019-03-27,12230.337951223759
361,2019-03-28,12081.661543681583
362,2019-03-29,11695.981297267228
363,2019-03-30,11921.142823504097
364,2019-03-31,11610.024118856538
365,2019-04-01,12470.097839921515
366,2019-04-02,12540.605349366324
367,2019-04-03,12169.095214307417
368,2019-04-04,12021.119987250828
369,2019-04-05,11637.33040983735
370,2019-04-06,11861.319981322551
371,2019-04-07,11551.720739846089
372,2019-04-08,12407.430373090896
373,2019-04-09,12477.538275831432
374,2019-04-10,12107.852477389617
375,2019-04-11,11960.578430820067
376,2019-04-12,11578.67952240898
377,2019-04-13,11801.497139140747
378,2019-04-14,11493.417360835143
379,2019-04-15,12344.762906257969
380,2019-04-16,12414.47120229654
381,2019-04-17,12046.609740474189
382,2019-04-18,11900.036874389818
383,2019-04-19,11520.028634980417
384,2019-04-20,11741.674296958914
385,2019-04-21,11435.113981824823
386,2019-04-22,12282.095439426215
387,2019-04-23,12351.404128760454
388,2019-04-24,11985.367003554951
389,2019-04-25,11839.495317957899
390,2019-04-26,11461.37774755055
391,2019-04-27,11681.8514547771
392,2019-04-28,11376.81060281299
393,2019-04-29,12219.427972594438
394,2019-04-30,12288.337055226983
395,2019-05-01,11924.124266638595
396,2019-05-02,11778.953761528286
397,2019-05-03,11402.726860122171
398,2019-05-04,11622.028612595552
399,2019-05-05,11318.507223802671
400,2019-05-06,12156.760505763787
401,2019-05-07,12225.269981690668
402,2019-05-08,11862.88152972081
403,2019-05-09,11718.412205096625
404,2019-05-10,11344.075972692957
405,2019-05-11,11562.205770413751
406,2019-05-12,11260.20384479173
407,2019-05-13,12094.09303893088
408,2019-05-14,12162.202908154599
409,2019-05-15,11801.638792804843
410,2019-05-16,11657.870648665863
411,2019-05-17,11285.425085263747
412,2019-05-18,11502.382928231922
413,2019-05-19,11201.900465781275
414,2019-05-20,12031.425572099117
415,2019-05-21,12099.135834619703
416,2019-05-22,11740.396055887059
417,2019-05-23,11597.329092233962
418,2019-05-24,11226.77419783454
419,2019-05-25,11442.560086050373
420,2019-05-26,11143.597086770336
421,2019-05-27,11968.758105267334
422,2019-05-28,12036.06876108481
423,2019-05-29,11679.153318970682
424,2019-05-30,11536.787535804575
425,2019-05-31,11168.123310406145
426,2019-06-01,11382.737243868849
427,2019-06-02,11085.293707760005
428,2019-06-03,11906.090638435551
429,2019-06-04,11973.001687549913
430,2019-06-05,11617.910582052407
431,2019-06-06,11476.245979372681
432,2019-06-07,11109.472422976309
433,2019-06-08,11322.91440168702
434,2019-06-09,11026.990328749069
435,2019-06-10,11843.423171602684
436,2019-06-11,11909.934614014091
437,2019-06-12,11556.667845136024
438,2019-06-13,11415.704422941915
439,2019-06-14,11050.821535547731
440,2019-06-15,11263.09155950548
441,2019-06-16,10968.686949738607
442,2019-06-17,11780.755704771997
443,2019-06-18,11846.867540480565
444,2019-06-19,11495.425108219633
445,2019-06-20,11355.162866511148
446,2019-06-21,10992.170648118707
447,2019-06-22,11203.268717323666
448,2019-06-23,10910.383570727668
449,2019-06-24,11718.08823793912
450,2019-06-25,11783.800466944294
451,2019-06-26,11434.182371302744
452,2019-06-27,11294.621310080616
453,2019-06-28,10933.519760690298
454,2019-06-29,11143.445875141853
455,2019-06-30,10852.08019171674
456,2019-07-01,11655.420771108418
457,2019-07-02,11720.733393409615
458,2019-07-03,11372.939634384977
459,2019-07-04,11234.079753648744
460,2019-07-05,10874.868873260479
461,2019-07-06,11083.623032960028
462,2019-07-07,10793.776812706272
463,2019-07-08,11592.753304275564
464,2019-07-09,11657.66631987471
465,2019-07-10,11311.69689746722
