,AvgNetFare
2018-10-11,4370.42641509434
2018-10-12,4710.039473684211
2018-10-13,4546.304347826087
2018-10-14,4621.058139534884
2018-10-15,4721.60669456067
2018-10-16,4848.964824120603
2018-10-17,4820.12962962963
2018-10-18,4550.556962025316
2018-10-19,4528.029069767442
2018-10-20,4262.601941747574
2018-10-21,4180.5534591194955
2018-10-22,4353.351351351352
2018-10-23,4161.8199513382
2018-10-24,4434.25
2018-10-25,4038.9913793103447
2018-10-26,4175.145833333333
2018-10-27,4409.218487394958
2018-10-28,4291.543859649123
2018-10-29,4268.452488687783
2018-10-30,4457.214673913043
2018-10-31,3978.869731800766
2018-11-01,4295.70625
2018-11-02,4243.605405405406
2018-11-03,4146.373134328358
2018-11-04,4063.472727272727
2018-11-05,4280.1654676259
2018-11-06,4160.264367816092
2018-11-07,4183.46
2018-11-08,3957.8823529411766
2018-11-09,4085.586776859504
2018-11-10,4043.3711340206182
2018-11-11,4243.25
2018-11-12,4122.279279279279
2018-11-13,4191.6321243523325
2018-11-14,4041.523012552301
2018-11-15,4323.89417989418
2018-11-16,4095.6826086956517
2018-11-17,4446.7819548872185
2018-11-18,4137.904255319149
2018-11-19,4322.752631578947
2018-11-20,4133.406698564593
2018-11-21,4049.339366515837
2018-11-22,4139.644230769231
2018-11-23,4236.4
2018-11-24,4326.564516129032
2018-11-25,3879.4285714285716
2018-11-26,4364.1329787234035
2018-11-27,4238.627272727273
2018-11-28,4418.436274509804
2018-11-29,4006.044444444444
2018-11-30,4276.029535864979
2018-12-01,4206.110552763819
2018-12-02,4417.191011235956
2018-12-03,4073.4310344827586
2018-12-04,3993.68661971831
2018-12-05,4440.512110726643
2018-12-06,4182.708520179373
2018-12-07,4158.615384615385
2018-12-08,4523.138461538461
2018-12-09,3832.48051948052
2018-12-10,4180.421348314607
2018-12-11,4324.901734104046
2018-12-12,4266.016304347826
2018-12-13,4365.95
2018-12-14,4420.212121212121
2018-12-15,4029.944444444444
2018-12-16,4081.1886792452833
2018-12-17,4403.240963855422
2018-12-18,4418.878378378378
2018-12-19,4167.789883268482
