InvoiceDate,AvgNetFare,TotalNetFare
2018-11-14,4041.523012552301,965924.0
2018-11-15,4323.89417989418,817216.0
2018-11-16,4095.682608695652,942007.0
2018-11-17,4446.7819548872185,591422.0
2018-11-18,4137.904255319149,388963.0
2018-11-19,4322.752631578947,821323.0
2018-11-20,4133.406698564593,863882.0
2018-11-21,4049.339366515837,894904.0
2018-11-22,4139.6442307692305,861046.0
2018-11-23,4236.4,995554.0
2018-11-24,4326.564516129032,536494.0
2018-11-25,3879.4285714285716,217248.0
2018-11-26,4364.132978723404,820457.0
2018-11-27,4238.627272727273,932498.0
2018-11-28,4418.436274509804,901361.0
2018-11-29,4006.0444444444443,1081632.0
2018-11-30,4276.029535864979,1013419.0
2018-12-01,4206.110552763819,837016.0
2018-12-02,4417.191011235955,393130.0
2018-12-03,4073.4310344827586,945036.0
2018-12-04,3993.68661971831,1134207.0
2018-12-05,4440.512110726643,1283308.0
2018-12-06,4182.7085201793725,932744.0
2018-12-07,4158.615384615385,919054.0
2018-12-08,4523.138461538461,588008.0
2018-12-09,3832.4805194805194,295101.0
2018-12-10,4180.421348314607,744115.0
2018-12-11,4324.901734104046,748208.0
2018-12-12,4266.016304347826,784947.0
2018-12-13,4365.95,611233.0
2018-12-14,4420.212121212121,875202.0
2018-12-15,4029.9444444444443,507773.0
2018-12-16,4081.188679245283,216303.0
2018-12-17,4403.240963855422,730938.0
2018-12-18,4418.878378378378,653994.0
2018-12-19,4167.789883268482,1071122.0
2018-12-20,4064.6963562753035,1003980.0
2018-12-21,3915.1371841155233,1084493.0
2018-12-22,4146.38829787234,779521.0
2018-12-23,4094.978947368421,389023.0
2018-12-24,3901.4633204633205,1010479.0
2018-12-25,3934.4444444444443,601970.0
2018-12-26,3981.9714285714285,1533059.0
2018-12-27,3902.135802469136,948219.0
2018-12-28,3954.706790123457,1281325.0
2018-12-29,3805.2769953051643,810524.0
2018-12-30,4153.541666666667,498425.0
2018-12-31,3923.823943661972,1114366.0
2019-01-01,4329.142857142857,787904.0
2019-01-02,4165.59793814433,1212189.0
2019-01-03,4258.875886524823,1201003.0
2019-01-04,4103.003225806452,1271931.0
2019-01-05,4228.069767441861,909035.0
2019-01-06,4113.259842519685,522384.0
2019-01-07,4142.826203208556,1549417.0
2019-01-08,3877.146408839779,1403527.0
2019-01-09,3524.1048636363635,1550606.14
2019-01-10,3729.481366459627,1200893.0
2019-01-11,3453.3248730964465,1360610.0
2019-01-12,3637.8074074074075,982208.0
2019-01-13,3464.4077669902913,356834.0
